Species,Molecular weight,Full sum,MI v1,MI v2,MI v3,FF v1,FF v2,FF v3,MI fraction
Pyrene,202,18915.0,18885.0,14805.0,15094.0,1.0015885623510723,1.2776089159067883,1.2531469458062807,0.5286280729579699
Fluoranthene,202,18603.0,15053.0,14645.0,14884.0,1.2358333886932837,1.2702628883578013,1.249865627519484,0.5374939525882922
11H-benzo[a]fluorene,216,25978.0,25938.0,17615.0,18724.0,1.0015421389467192,1.4747658245813227,1.3874172185430464,0.3849026099006852
11H-benzo[b]fluorene,216,26923.0,22878.0,19635.0,20884.0,1.1768074132354227,1.3711739241151006,1.2891687416203792,0.3713924896928277
1-Methylpyrene,216,30519.0,25170.0,19711.0,21428.0,1.2125148986889154,1.5483232712698494,1.4242579802128057,0.32763196697139485
Benzo[ghi]fluoranthene,226,30427.0,30387.0,17927.0,19048.0,1.0013163523875341,1.6972722708763317,1.5973855522889542,0.32862260492325895
Cyclopenta[cd]pyrene,226,18629.0,15979.0,15169.0,15619.0,1.1658426685024095,1.2280967763201265,1.1927140021768359,0.5367437865693274
Benz[a]anthracene,228,27331.0,26965.0,15883.0,16887.0,1.0135731503801224,1.7207706352704149,1.61846390714751,0.36584830412352276
Triphenylene,228,21614.0,21314.0,15595.0,16214.0,1.0140752557004786,1.3859570375120231,1.3330455162205501,0.46261682242990654
Chrysene,228,2978.0,2978.0,1632.0,1740.0,1.0,1.8247549019607843,1.7114942528735633,0.33546004029550036
10-Methylbenz[a]anthracene,242,28316.0,27896.0,14523.0,15934.0,1.0150559219959852,1.949734903256903,1.7770804568846492,0.35312190987427605
Benzo[b]fluoranthene,252,23220.0,23190.0,14895.0,15384.0,1.001293661060802,1.5589123867069485,1.5093603744149766,0.43062015503875967
Benzo[j]fluoranthene,252,27151.0,17248.0,15258.0,16096.0,1.5741535250463823,1.7794599554332153,1.6868166003976144,0.36827372840779343
Benzo[k]fluoranthene,252,24223.0,16339.0,15248.0,16008.0,1.4825264704082257,1.5886017838405038,1.5131809095452273,0.41278949758493994
Benzo[e]pyrene,252,22471.0,16323.0,15335.0,15904.0,1.3766464497947681,1.4653407238343659,1.4129149899396378,0.4449735214276178
Benzo[a]pyrene,252,20865.0,15773.0,14805.0,15204.0,1.322830152792747,1.409321175278622,1.372336227308603,0.4792235801581596
"Indeno[1,2,3-cd]pyrene",276,25063.0,23877.0,15598.0,16148.0,1.0496712317292791,1.6068085652006667,1.5520807530344316,0.3989546343215098
Benzo[ghi]perylene,276,25041.0,25031.0,15225.0,15634.0,1.0003995046142784,1.6447290640394088,1.6017014199820903,0.3993051395711034
Coronene,300,2475.0,1701.0,1558.0,1619.0,1.4550264550264551,1.5885750962772787,1.528721432983323,0.4036363636363636
